material,categoria,sku,precio,imagenes,carpeta
Oro 18k,Cadenas,43058,215000,3,Catalogo Oro\Cadenas\43058
Oro 18k,Cadenas,43033,195000,2,Catalogo Oro\Cadenas\43033
Oro 18k,Cadenas,45043,915000,3,Catalogo Oro\Cadenas\45043
Oro 18k,Cadenas,40766,105000,3,Catalogo Oro\Cadenas\40766
Oro 18k,Cadenas,45128,295000,3,Catalogo Oro\Cadenas\45128
Oro 18k,Cadenas,40006,155000,4,Catalogo Oro\Cadenas\40006
Oro 18k,Cadenas,43011,295000,5,Catalogo Oro\Cadenas\43011
Oro 18k,Cadenas,43106,115000,4,Catalogo Oro\Cadenas\43106
Oro 18k,Cadenas,43833,295000,5,Catalogo Oro\Cadenas\43833
Oro 18k,Cadenas,43886,215000,5,Catalogo Oro\Cadenas\43886
Oro 18k,Cadenas,40038,295000,3,Catalogo Oro\Cadenas\40038
Oro 18k,Cadenas,44888,565000,5,Catalogo Oro\Cadenas\44888
Oro 18k,Cadenas,44006,175000,8,Catalogo Oro\Cadenas\44006
Oro 18k,Cadenas,45156,105000,1,Catalogo Oro\Cadenas\45156
Oro 18k,Cadenas,44068,415000,7,Catalogo Oro\Cadenas\44068
Oro 18k,Cadenas,40001,105000,3,Catalogo Oro\Cadenas\40001
Oro 18k,Cadenas,45151,135000,3,Catalogo Oro\Cadenas\45151
Oro 18k,Cadenas,45153,175000,3,Catalogo Oro\Cadenas\45153
Oro 18k,Cadenas,46881,195000,2,Catalogo Oro\Cadenas\46881
Oro 18k,Cadenas,45203,195000,3,Catalogo Oro\Cadenas\45203
Oro 18k,Cadenas,46883,275000,1,Catalogo Oro\Cadenas\46883
Oro 18k,Cadenas,45121,115000,3,Catalogo Oro\Cadenas\45121
Oro 18k,Cadenas,43888,265000,3,Catalogo Oro\Cadenas\43888
Oro 18k,Cadenas,40051,105000,3,Catalogo Oro\Cadenas\40051
Oro 18k,Cadenas,45313,475000,1,Catalogo Oro\Cadenas\45313
Oro 18k,Cadenas,45333,275000,3,Catalogo Oro\Cadenas\45333
Oro 18k,Cadenas,45331,215000,3,Catalogo Oro\Cadenas\45331
Oro 18k,Cadenas,45041,565000,3,Catalogo Oro\Cadenas\45041
Oro 18k,Cadenas,45068,275000,3,Catalogo Oro\Cadenas\45068
Oro 18k,Cadenas,45011,105000,3,Catalogo Oro\Cadenas\45011
Oro 18k,Cadenas,45223,295000,3,Catalogo Oro\Cadenas\45223
